"Number of teachers and pupils of general education as of 30 September (*) by Items, Teachers and pupils and Year"

"Items";"Teachers and pupils";"1995 -1996";"1996 - 1997";"1997 - 1998";"1998 - 1999";"1999 - 2000";"2000 - 2001";"2001 - 2002";"2002 - 2003";"2003 - 2004";"2004 - 2005";"2005-2006";"2006-2007";"2007-2008";"2008-2009";"2009-2010";"2010-2011";"2011-2012";"2012-2013";"2013-2014";"2014-2015";"Pre. 2015-2016"
"Number";"Direct teaching teachers (Thous.pers)";492.7;521.0;565.6;604.5;631.7;661.7;694.1;723.5;755.4;771.0;780.5;789.6;800.6;806.9;818.7;830.9;828.1;847.5;855.2;856.7;861.3
"Number";"Direct teaching teachers - Primary (Thous.pers)";298.9;311.5;333.1;346.0;351.3;355.9;359.9;363.1;366.2;362.4;354.8;349.5;348.7;349.7;355.2;365.8;366.0;381.4;386.9;392.1;396.9
"Number";"Direct teaching teachers - Lower secondary (Thous.pers)";154.4;167.0;184.2;202.7;216.2;233.8;254.1;271.8;290.4;302.5;310.2;314.9;317.5;317.0;317.2;316.2;312.0;315.2;315.6;312.6;313.5
"Number";"Direct teaching teachers - Upper secondary (Thous.pers)";39.4;42.5;48.3;55.8;64.2;72.0;80.1;88.6;98.8;106.1;115.5;125.2;134.4;140.2;146.3;148.9;150.1;150.9;152.7;152.0;150.9
"Number";"Pupils (Thous.pupils)";15561.0;16348.0;16970.2;17391.1;17685.3;17776.1;17875.6;17699.6;17505.4;17122.6;16650.6;16256.6;15685.2;15127.9;14912.1;14792.8;14782.6;14747.1;14900.7;15082.4;15353.8
"Number";"Pupils - Primary  (Thous.pupils)";10228.8;10352.7;10383.6;10223.9;10033.5;9741.1;9315.3;8815.7;8346.0;7744.8;7304.0;7029.4;6860.3;6731.6;6908.0;7043.3;7101.0;7202.8;7435.6;7543.7;7790.0
"Number";"Pupils - Lower secondary (Thous.pupils)";4312.7;4839.7;5204.6;5514.3;5694.8;5863.6;6259.1;6429.7;6569.8;6616.7;6371.3;6152.0;5803.3;5468.7;5163.2;4945.2;4926.4;4869.8;4932.4;5098.8;5138.7
"Number";"Pupils - Upper secondary (Thous.pupils)";1019.5;1155.6;1382.0;1652.9;1957.0;2171.4;2301.2;2454.2;2589.6;2761.1;2975.3;3075.2;3021.6;2927.6;2840.9;2804.3;2755.2;2674.5;2532.7;2439.9;2425.1
"Index (Previous year = 100) - %";"Direct teaching teachers (Thous.pers)";105.4;105.7;108.6;106.9;104.5;104.7;104.9;104.2;104.4;102.1;101.2;101.2;101.4;100.8;101.5;101.5;99.7;102.3;100.9;100.2;100.5
"Index (Previous year = 100) - %";"Direct teaching teachers - Primary (Thous.pers)";103.7;104.2;106.9;103.9;101.5;101.3;101.1;100.9;100.9;99.0;97.9;98.5;99.8;100.3;101.6;103.0;100.1;104.2;101.4;101.3;101.2
"Index (Previous year = 100) - %";"Direct teaching teachers - Lower secondary (Thous.pers)";108.6;108.2;110.3;110.0;106.7;108.1;108.7;107.0;106.8;104.2;102.6;101.5;100.8;99.8;100.1;99.7;98.6;101.0;100.1;99.0;100.3
"Index (Previous year = 100) - %";"Direct teaching teachers - Upper secondary (Thous.pers)";106.2;107.9;113.6;115.5;115.1;112.1;111.3;110.6;111.5;107.4;108.9;108.4;107.3;104.3;104.4;101.8;100.8;100.5;101.2;99.6;99.3
"Index (Previous year = 100) - %";"Pupils (Thous.pupils)";107.1;105.1;103.8;102.5;101.7;100.5;100.6;99.0;98.9;97.8;97.2;97.6;96.5;96.4;98.6;99.2;99.9;99.8;101.0;101.2;101.8
"Index (Previous year = 100) - %";"Pupils - Primary  (Thous.pupils)";102.0;101.2;100.3;98.5;98.1;97.1;95.6;94.6;94.7;92.8;94.3;96.2;97.6;98.1;102.6;102.0;100.8;101.4;103.2;101.5;103.3
"Index (Previous year = 100) - %";"Pupils - Lower secondary (Thous.pupils)";117.9;112.2;107.5;106.0;103.3;103.0;106.7;102.7;102.2;100.7;96.3;96.6;94.3;94.2;94.4;95.8;99.6;98.9;101.3;103.4;100.8
"Index (Previous year = 100) - %";"Pupils - Upper secondary (Thous.pupils)";120.9;113.3;119.6;119.6;118.4;111.0;106.0;106.6;105.5;106.6;107.8;103.4;98.3;96.9;97.0;98.7;98.2;97.1;94.7;96.3;99.4
