"Number of teachers in professional secondary schools by professional qualification by Items, Professional qualification and Year"

"Items";"Professional qualification";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Pre. 2015"
"Number (Person)";"TOTAL(*)";10133.0;9327.0;10247.0;11121.0;13937.0;14230.0;14540.0;14658.0;16808.0;18002.0;18085.0;19956.0;18344.0;11515.0;10911.0;10200.0
"Number (Person)";"Postgraduate";578.0;566.0;780.0;1335.0;1958.0;2383.0;2133.0;2323.0;3256.0;3753.0;4375.0;5235.0;4399.0;2671.0;2670.0;3472.0
"Number (Person)";"University and college graduate";8108.0;7378.0;8336.0;8722.0;10854.0;10677.0;11339.0;11112.0;12026.0;13140.0;12892.0;14029.0;13224.0;7901.0;7366.0;6356.0
"Number (Person)";"Other degree";1447.0;1383.0;1131.0;1064.0;1125.0;1170.0;1068.0;1223.0;1526.0;1109.0;818.0;692.0;721.0;943.0;875.0;372.0
"Number (Person)";"Public";9984.0;9178.0;9677.0;10017.0;11540.0;11291.0;10581.0;10737.0;11867.0;11349.0;10216.0;10767.0;10223.0;6131.0;5656.0;5130.0
"Number (Person)";"Postgraduate -Public";561.0;530.0;648.0;1042.0;1346.0;1609.0;1186.0;1356.0;2044.0;2120.0;2330.0;2824.0;2452.0;1488.0;1408.0;1612.0
"Number (Person)";"University and college graduate-Public";8003.0;7268.0;7907.0;7981.0;9146.0;8629.0;8412.0;8354.0;8724.0;8445.0;7308.0;7569.0;7370.0;4191.0;3862.0;3276.0
"Number (Person)";"Other degree-Public";1420.0;1380.0;1122.0;994.0;1048.0;1053.0;983.0;1027.0;1099.0;784.0;578.0;374.0;401.0;452.0;386.0;242.0
"Number (Person)";"Non-public";149.0;149.0;570.0;1104.0;2397.0;2939.0;3959.0;3921.0;4941.0;6653.0;7869.0;9189.0;8121.0;5384.0;5255.0;5070.0
"Number (Person)";"Postgraduate-Non-public";17.0;36.0;132.0;293.0;612.0;774.0;947.0;967.0;1212.0;1633.0;2045.0;2411.0;1947.0;1183.0;1262.0;1860.0
"Number (Person)";"University and college graduate -Non-public";105.0;110.0;429.0;741.0;1708.0;2048.0;2927.0;2758.0;3302.0;4695.0;5584.0;6460.0;5854.0;3710.0;3504.0;3080.0
"Number (Person)";"Other degree -Non-public";27.0;3.0;9.0;70.0;77.0;117.0;85.0;196.0;427.0;325.0;240.0;318.0;320.0;491.0;489.0;130.0
"Index (Previous year = 100) - %";"TOTAL(*)";103.9;92.0;109.9;108.5;125.3;102.1;102.2;100.8;114.7;107.1;100.5;110.3;91.9;62.8;94.8;93.5
"Index (Previous year = 100) - %";"Postgraduate";104.7;97.9;137.8;171.2;146.7;121.7;89.5;108.9;140.2;115.3;116.6;119.7;84.0;60.7;100.0;130.0
"Index (Previous year = 100) - %";"University and college graduate";104.7;91.0;113.0;104.6;124.4;98.4;106.2;98.0;108.2;109.3;98.1;108.8;94.3;59.7;93.2;86.3
"Index (Previous year = 100) - %";"Other degree";99.1;95.6;81.8;94.1;105.7;104.0;91.3;114.5;124.8;72.7;73.8;84.6;104.2;130.8;92.8;42.5
"Index (Previous year = 100) - %";"Public";103.9;91.9;105.4;103.5;115.2;97.8;93.7;101.5;110.5;95.6;90.0;105.4;94.9;60.0;92.3;90.7
"Index (Previous year = 100) - %";"Postgraduate -Public";104.7;94.5;122.3;160.8;129.2;119.5;73.7;114.3;150.7;103.7;109.9;121.2;86.8;60.7;94.6;114.5
"Index (Previous year = 100) - %";"University and college graduate-Public";104.7;90.8;108.8;100.9;114.6;94.3;97.5;99.3;104.4;96.8;86.5;103.6;97.4;56.9;92.1;84.8
"Index (Previous year = 100) - %";"Other degree-Public";99.1;97.2;81.3;88.6;105.4;100.5;93.4;104.5;107.0;71.3;73.7;64.7;107.2;112.7;85.4;62.7
"Index (Previous year = 100) - %";"Non-public";..;100.0;382.6;193.7;217.1;122.6;134.7;99.0;126.0;134.6;118.3;116.8;88.4;66.3;97.6;96.5
"Index (Previous year = 100) - %";"Postgraduate-Non-public";..;211.8;366.7;222.0;208.9;126.5;122.4;102.1;125.3;134.7;125.2;117.9;80.8;60.8;106.7;147.4
"Index (Previous year = 100) - %";"University and college graduate -Non-public";..;104.8;390.0;172.7;230.5;119.9;142.9;94.2;119.7;142.2;118.9;115.7;90.6;63.4;94.4;87.9
"Index (Previous year = 100) - %";"Other degree -Non-public";..;11.1;300.0;777.8;110.0;151.9;72.6;230.6;217.9;76.1;73.8;132.5;100.6;153.4;99.6;26.6
