"Merchandise Export Price Index (USD, Previous year = 100) by Commondity group and Year"

"Commondity group";"2011";"2012";"2013";"2014";"2015"
"GENERAL EXPORT PRICE INDEX";119.62;99.46;97.59;101.10;96.21
"Fishery products";115.73;103.33;98.85;107.43;97.47
"Vegetables and fruit";112.64;100.72;103.71;109.88;96.60
"Cashew nut";137.90;85.06;90.68;100.41;108.29
"Coffee";153.19;93.84;95.95;99.85;93.59
"Tea";102.81;97.85;102.54;104.81;102.93
"Pepper";168.49;116.70;92.89;114.45;127.65
"Rice";112.32;92.86;90.42;105.43;91.88
"Casava and casava products";108.82;83.17;106.61;94.11;96.54
"Confectionery and cereal preparations";105.57;101.23;101.34;98.42;104.21
"Coal";123.60;88.07;84.32;95.49;89.96
"Crude oil";142.78;103.77;97.56;99.56;47.02
"Petroleum oil, refined";138.64;108.69;98.40;93.66;50.17
"Ores and other minerals";101.87;101.36;101.04;102.61;97.62
"Chemicals";107.00;97.20;95.00;106.24;104.95
"Chemical products";106.42;97.11;96.35;106.00;102.51
"Plastic materials";111.75;100.70;90.02;92.42;78.62
"Articles of plastics";104.64;100.48;92.50;101.76;92.92
"Rubber";142.26;68.98;81.04;73.07;75.87
"Articles of rubber";146.87;70.30;85.87;87.37;86.37
"Bags, pockets, wallets, suitcases, hats and umbrellas";111.24;100.87;109.34;100.65;106.20
"Rattan, bamboo and rush products";131.55;85.55;99.15;100.96;101.61
"Wood and Aticles of wood";107.53;105.46;102.05;102.62;100.12
"Paper and Aticles of paper";110.06;102.97;100.71;101.82;103.03
"Articles of apparel and clothing accessories";109.17;102.47;103.34;100.76;102.64
"Footwear";107.14;107.46;100.74;103.38;104.44
"Ceramic articles";109.75;98.70;99.56;104.88;98.18
"Glass and articles of glass";107.57;94.95;95.62;102.74;90.47
"Precious stones, precious metals and their products";110.88;103.95;100.31;98.53;102.60
"Iron, Steel";110.41;99.97;98.89;90.41;92.45
"Iron and steel producs";113.85;100.39;95.59;94.13;92.51
"Electronic parts (including TV parts), computer and their parts";108.20;97.55;99.02;103.58;99.26
"Machinery, apparatus, accessory";105.39;100.01;95.68;99.41;100.26
"Electrical wire and cable";103.76;103.65;101.17;97.76;91.80
"Means of transport and equipment";102.32;100.91;96.99;102.94;94.92
"Others";115.52;98.39;99.40;105.83;100.69
