"Percentage of goods exports to and goods imports from ASEAN countries over GDP by Items, Country and Year"

"Items";"Country";"2005";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Exports to ASEAN countries over GDP";"Total";9.9;8.8;9.4;10.3;11.2;10.8;10.3;9.3
"Exports to ASEAN countries over GDP";"Cambodia";1.0;1.2;1.4;1.9;1.9;1.7;1.4;1.2
"Exports to ASEAN countries over GDP";"Indonesia";0.8;0.8;1.3;1.8;1.5;1.5;1.6;1.5
"Exports to ASEAN countries over GDP";"Lao PDR";0.1;0.2;0.2;0.2;0.3;0.2;0.3;0.3
"Exports to ASEAN countries over GDP";"Malaysia";1.8;1.8;1.9;2.1;2.9;2.9;2.1;1.9
"Exports to ASEAN countries over GDP";"Myanmar";0.0;0.0;0.0;0.1;0.1;0.1;0.2;0.2
"Exports to ASEAN countries over GDP";"The Philippines";1.4;1.5;1.5;1.2;1.2;1.0;1.2;1.0
"Exports to ASEAN countries over GDP";"Singapore";3.3;2.1;1.9;1.6;1.5;1.6;1.6;1.7
"Exports to ASEAN countries over GDP";"Thailand";1.5;1.3;1.1;1.5;1.8;1.8;1.9;1.6
"Imports from ASEAN countries over GDP";"Total";16.1;16.5;14.8;15.8;13.4;12.4;12.3;12.3
"Imports from ASEAN countries over GDP";"Cambodia";0.3;0.2;0.2;0.3;0.3;0.3;0.3;0.5
"Imports from ASEAN countries over GDP";"Indonesia";1.2;1.5;1.7;1.7;1.4;1.4;1.3;1.4
"Imports from ASEAN countries over GDP";"Lao PDR";0.2;0.3;0.3;0.3;0.3;0.4;0.4;0.3
"Imports from ASEAN countries over GDP";"Malaysia";2.2;2.6;3.1;3.0;2.2;2.4;2.3;2.2
"Imports from ASEAN countries over GDP";"Myanmar";0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.0
"Imports from ASEAN countries over GDP";"The Philippines";0.4;0.5;0.6;0.6;0.6;0.6;0.4;0.5
"Imports from ASEAN countries over GDP";"Singapore";7.7;7.0;3.7;4.8;4.3;3.3;3.7;3.1
"Imports from ASEAN countries over GDP";"Thailand";4.1;4.5;5.1;4.8;3.7;3.7;3.8;4.3
