"Price index of materials, fuel used for production by commodity group (Year 2010 = 100) by By commodity group and Year"

"By commodity group";"2010";"2011";"2012";"2013";"2014";"2015"
"GENERAL INDEX";100.00;121.27;133.25;137.32;141.98;142.01
"Agricultural, Forestry and Fishing";100.00;130.65;141.54;142.24;147.88;147.08
"Mining and Quarrying";100.00;107.10;113.35;124.26;131.06;133.05
"Manufacture of food, beverages and tobacco products";100.00;122.75;133.15;133.94;139.20;138.95
"Textile, wearing apparel, leather and related products";100.00;113.82;130.11;137.56;139.51;139.75
"Manufacture of wood, paper and printing";100.00;125.58;138.00;143.15;145.74;148.16
"Manufacture of coke and refined petroleum";100.00;127.68;143.09;143.77;143.21;121.30
"Manufacture of chemicals and chemical products";100.00;118.33;130.00;132.91;133.30;131.61
"Manufacture of pharmaceuticals, medicinal chemical and botanical products";100.00;109.94;119.36;126.03;132.84;133.74
"Manufacture of rubber, plastic products and other non-metalic mineral products";100.00;116.36;132.41;140.56;145.44;145.98
"Manufacture of basic metals and fabricated metal products (except machinery and equipment)";100.00;119.20;125.40;125.23;125.97;120.72
"Manufacture of computer, electronic and optical product";100.00;104.06;117.73;117.79;117.79;116.40
"Manufacture of electrical equipment";100.00;111.11;117.01;120.55;113.34;111.80
"Manufacture of machinery and equipment non where classification";100.00;121.05;137.68;145.20;146.86;148.77
"Manufacture of motor vehicles, trailer and semi-trailer";100.00;106.77;108.73;110.28;109.93;109.86
"Manufacture of funiture, other of manufacturing and repair and installation of machinery and equipment";100.00;115.17;123.06;126.82;130.73;133.02
"Electricity, gas, steam and air conditioning supply";100.00;121.80;133.40;139.37;148.72;155.56
"Water supply, sewerage, waste management and remediation activities";100.00;113.50;124.36;134.87;141.90;146.75
