"Volume of freight by transport sector by Items, Year and Transport sector"

"Items";"Year";"Total";"Domestic";"Overseas"
"Volume of freight (Thous.tons)";"1995";140709.9;136682.9;4027.0
"Volume of freight (Thous.tons)";"1996";157201.9;151090.4;6111.5
"Volume of freight (Thous.tons)";"1997";176258.8;163792.2;12466.6
"Volume of freight (Thous.tons)";"1998";189184.0;183244.3;5939.7
"Volume of freight (Thous.tons)";"1999";203212.7;196354.2;6858.5
"Volume of freight (Thous.tons)";"2000";223823.0;214831.5;8991.5
"Volume of freight (Thous.tons)";"2001";252146.0;241430.9;10715.1
"Volume of freight (Thous.tons)";"2002";292869.2;280509.5;12359.7
"Volume of freight (Thous.tons)";"2003";347232.7;326940.8;20291.9
"Volume of freight (Thous.tons)";"2004";403002.2;380278.4;22723.8
"Volume of freight (Thous.tons)";"2005";460146.3;426060.6;34085.7
"Volume of freight (Thous.tons)";"2006";513575.1;459639.7;53935.4
"Volume of freight (Thous.tons)";"2007";596800.9;546289.7;50511.2
"Volume of freight (Thous.tons)";"2008";653235.3;610775.0;42460.3
"Volume of freight (Thous.tons)";"2009";715522.4;679746.3;35776.1
"Volume of freight (Thous.tons)";"2010";800886.0;765598.0;35288.0
"Volume of freight (Thous.tons)";"2011";885681.5;851558.0;34123.5
"Volume of freight (Thous.tons)";"2012";961128.4;929352.3;31776.1
"Volume of freight (Thous.tons)";"2013";1010413.9;979728.2;30685.7
"Volume of freight (Thous.tons)";"2014";1078580.9;1047480.9;31100.0
"Volume of freight (Thous.tons)";"Pre. 2015";1141138.7;1109238.7;31900.0
"Index (Previous year = 100) (%)";"1995";..;..;..
"Index (Previous year = 100) (%)";"1996";111.7;110.5;151.8
"Index (Previous year = 100) (%)";"1997";112.1;108.4;204.0
"Index (Previous year = 100) (%)";"1998";107.3;111.9;47.6
"Index (Previous year = 100) (%)";"1999";107.4;107.2;115.5
"Index (Previous year = 100) (%)";"2000";110.1;109.4;131.1
"Index (Previous year = 100) (%)";"2001";112.7;112.4;119.2
"Index (Previous year = 100) (%)";"2002";116.2;116.2;115.3
"Index (Previous year = 100) (%)";"2003";118.6;116.6;164.2
"Index (Previous year = 100) (%)";"2004";116.1;116.3;112.0
"Index (Previous year = 100) (%)";"2005";114.2;112.0;150.0
"Index (Previous year = 100) (%)";"2006";111.6;107.9;158.2
"Index (Previous year = 100) (%)";"2007";116.2;118.9;93.7
"Index (Previous year = 100) (%)";"2008";109.5;111.8;84.1
"Index (Previous year = 100) (%)";"2009";109.5;111.3;84.3
"Index (Previous year = 100) (%)";"2010";111.9;112.6;98.6
"Index (Previous year = 100) (%)";"2011";110.6;111.2;96.7
"Index (Previous year = 100) (%)";"2012";108.5;109.1;93.1
"Index (Previous year = 100) (%)";"2013";105.1;105.4;96.6
"Index (Previous year = 100) (%)";"2014";106.7;106.9;101.4
"Index (Previous year = 100) (%)";"Pre. 2015";105.8;105.9;102.6
